3.17.23 part 3-trauma 1 above bed_above_0.png, 2 0.07383177570093459 0.32113144758735446 0.08037383177570094 0.12811980033277873
3.17.23 part 3-trauma 1 above bed_above_0.png, 2 0.5014018691588785 0.7870216306156406 0.08691588785046729 0.1747088186356073
3.17.23 part 3-trauma 1 above bed_above_0.png, 2 0.7406542056074766 0.05074875207986689 0.08130841121495329 0.09983361064891848
3.17.23 part 3-trauma 1 above bed_above_0.png, 0 0.6925233644859813 0.16722129783693845 0.16074766355140188 0.19966722129783696
3.17.23 part 3-trauma 1 above bed_above_0.png, 3 0.0985981308411215 0.3261231281198003 0.02149532710280374 0.08153078202995008
3.17.23 part 3-trauma 1 above bed_above_0.png, 6 0.7186915887850468 0.06988352745424294 0.028037383177570097 0.054908485856905165
3.17.23 part 3-trauma 1 above bed_above_0.png, 3 0.5018691588785047 0.7188019966722131 0.04299065420560748 0.02495840266222962
3.17.23 part 3-trauma 1 above bed_above_1.png, 2 0.10934579439252337 0.38851913477537436 0.0897196261682243 0.15640599001663893
3.17.23 part 3-trauma 1 above bed_above_1.png, 2 0.4906542056074767 0.6422628951747089 0.08411214953271028 0.16805324459234608
3.17.23 part 3-trauma 1 above bed_above_1.png, 3 0.13785046728971964 0.4101497504159734 0.02523364485981309 0.08652246256239601
3.17.23 part 3-trauma 1 above bed_above_1.png, 0 0.7 0.129783693843594 0.12149532710280374 0.2312811980033278
3.17.23 part 3-trauma 1 above bed_above_1.png, 2 0.7532710280373833 0.021630615640599003 0.05794392523364487 0.04492512479201331
ppe sim 2- trauma 1 above bed_above_479.png, 2 0.07383177570093459 0.32113144758735446 0.08037383177570094 0.12811980033277873
ppe sim 2- trauma 1 above bed_above_479.png, 2 0.5014018691588785 0.7870216306156406 0.08691588785046729 0.1747088186356073
ppe sim 2- trauma 1 above bed_above_479.png, 2 0.7406542056074766 0.05074875207986689 0.08130841121495329 0.09983361064891848
ppe sim 2- trauma 1 above bed_above_479.png, 0 0.6925233644859813 0.16722129783693845 0.16074766355140188 0.19966722129783696
ppe sim 2- trauma 1 above bed_above_479.png, 3 0.0985981308411215 0.3261231281198003 0.02149532710280374 0.08153078202995008
ppe sim 2- trauma 1 above bed_above_479.png, 6 0.7186915887850468 0.06988352745424294 0.028037383177570097 0.054908485856905165
ppe sim 2- trauma 1 above bed_above_479.png, 3 0.5018691588785047 0.7188019966722131 0.04299065420560748 0.02495840266222962
ppe sim 2- trauma 1 above bed_above_0.png, 2 0.3976635514018692 0.8044925124792013 0.08878504672897196 0.1663893510815308
ppe sim 2- trauma 1 above bed_above_0.png, 1 0.6074766355140188 0.12562396006655574 0.09906542056074767 0.17970049916805325
ppe sim 2- trauma 1 above bed_above_1.png, 2 0.3990654205607476 0.7986688851913478 0.08785046728971962 0.1747088186356073
ppe sim 2- trauma 1 above bed_above_1.png, 1 0.6060747663551402 0.12479201331114809 0.09813084112149534 0.17803660565723795
